epoch,l1,PSNR,phase
1,17.058666,14.761883,1
2,17.095444,14.808258,1
3,17.032337,14.776638,1
4,16.88122,14.8073,1
5,17.004118,14.665439,1
6,17.02199,14.681945,1
7,17.187305,14.717036,1
8,16.811085,14.698605,1
9,17.116405,14.688781,1
10,17.100924,14.7117605,1
11,16.881313,14.747182,1
12,16.927387,14.640712,1
13,16.725578,14.746461,1
14,16.914743,14.773857,1
15,16.941076,14.711373,1
16,16.985058,14.755101,1
17,16.83761,14.789822,1
18,16.854708,14.726379,1
19,16.938965,14.719012,1
20,16.696571,14.752477,1
21,16.73582,14.778317,1
22,16.840204,14.718258,1
23,16.820503,14.804957,1
24,16.872667,14.749625,1
25,16.586601,14.706654,1
26,16.840029,14.688344,1
27,16.499147,14.72179,1
28,16.585564,14.763816,1
29,16.670351,14.729469,1
30,16.701105,14.817997,1
31,17.12873649597168,15.799546241760254,2
32,17.071069717407227,15.69357967376709,2
