model,patch,PSNR,SSIM
Bicubic,AOI_Barcelona_12_y0064_x0256,18.09153133903025,0.5385693272303804
Bicubic,AOI_Barcelona_2_y0384_x0064,17.311257701470936,0.47919583025387064
Bicubic,AOI_Busan_7_y0064_x0192,18.80204772110714,0.4520301889171907
Bicubic,AOI_Munich_11_y0576_x0192,18.074681923414097,0.45501605022376457
Bicubic,AOI_Munich_16_y0192_x0256,18.762584451354915,0.5080569437592054
Bicubic,AOI_Paris_1_2_y0192_x0000,17.117133048070862,0.531158826039308
Bicubic,AOI_Paris_1_6_y0064_x0192,17.739322861269777,0.478095068674139
Bicubic,AOI_Paris_1_6_y0192_x0064,19.340737369240706,0.4709656052070905
Bicubic,AOI_Seoul_14_y0256_x0128,18.559959406935263,0.4807318178800453
Bicubic,AOI_Seoul_1_y0384_x0064,17.730250935178525,0.4115573863754906
SRCNN,AOI_Barcelona_12_y0064_x0256,18.254427849135023,0.5427126642947179
SRCNN,AOI_Barcelona_2_y0384_x0064,17.676264037433526,0.5083989878385384
SRCNN,AOI_Busan_7_y0064_x0192,18.826681329306755,0.47930268442122587
SRCNN,AOI_Munich_11_y0576_x0192,18.43819656089282,0.5305904740884105
SRCNN,AOI_Munich_16_y0192_x0256,19.17097734771305,0.5707742876304018
SRCNN,AOI_Paris_1_2_y0192_x0000,17.529455766306846,0.5760692935021371
SRCNN,AOI_Paris_1_6_y0064_x0192,18.097492898871742,0.5206659791209803
SRCNN,AOI_Paris_1_6_y0192_x0064,19.56477123694529,0.5151195492028203
SRCNN,AOI_Seoul_14_y0256_x0128,18.64035243528147,0.5028567400265921
SRCNN,AOI_Seoul_1_y0384_x0064,17.78477268813078,0.4472529379723964
VDSR,AOI_Barcelona_12_y0064_x0256,18.281531595848357,0.5500503714103983
VDSR,AOI_Barcelona_2_y0384_x0064,17.587795280983528,0.5065478118386418
VDSR,AOI_Busan_7_y0064_x0192,18.894896150150014,0.46985094267667554
VDSR,AOI_Munich_11_y0576_x0192,18.259008081947346,0.5005032006451919
VDSR,AOI_Munich_16_y0192_x0256,19.008371473931987,0.547620965749502
VDSR,AOI_Paris_1_2_y0192_x0000,17.400950016851112,0.565737565552168
VDSR,AOI_Paris_1_6_y0064_x0192,18.026065150868924,0.5103997241497976
VDSR,AOI_Paris_1_6_y0192_x0064,19.567004242041868,0.5011841261367239
VDSR,AOI_Seoul_14_y0256_x0128,18.661421232736807,0.49705152822083853
VDSR,AOI_Seoul_1_y0384_x0064,17.81692422229091,0.4337540011110539
EDSR,AOI_Barcelona_12_y0064_x0256,19.748487578643502,0.5962536945670047
EDSR,AOI_Barcelona_2_y0384_x0064,18.15601093547426,0.5307484674348325
EDSR,AOI_Busan_7_y0064_x0192,19.04012818140236,0.4794327056688004
EDSR,AOI_Munich_11_y0576_x0192,19.31171700450205,0.6139052284602874
EDSR,AOI_Munich_16_y0192_x0256,20.064917846101675,0.6471672512495917
EDSR,AOI_Paris_1_2_y0192_x0000,18.00701984952935,0.6036508348755188
EDSR,AOI_Paris_1_6_y0064_x0192,19.007733669722345,0.5399356333426644
EDSR,AOI_Paris_1_6_y0192_x0064,19.966614625758233,0.5224437635713315
EDSR,AOI_Seoul_14_y0256_x0128,18.92313600277326,0.5201299208744438
EDSR,AOI_Seoul_1_y0384_x0064,18.240656179584764,0.44717476580331333
SRGAN,AOI_Barcelona_12_y0064_x0256,18.148493264817557,0.5496243871026235
SRGAN,AOI_Barcelona_2_y0384_x0064,17.559852732660932,0.5046085505350849
SRGAN,AOI_Busan_7_y0064_x0192,18.218069082352336,0.4604215920393311
SRGAN,AOI_Munich_11_y0576_x0192,18.556958100254977,0.5427151262571985
SRGAN,AOI_Munich_16_y0192_x0256,19.21996213037556,0.5813619465865378
SRGAN,AOI_Paris_1_2_y0192_x0000,17.438155465626583,0.5778852944485882
SRGAN,AOI_Paris_1_6_y0064_x0192,17.99387236080538,0.5196361200062677
SRGAN,AOI_Paris_1_6_y0192_x0064,19.477968918524063,0.510140895696911
SRGAN,AOI_Seoul_14_y0256_x0128,18.65916367855406,0.5059478079405598
SRGAN,AOI_Seoul_1_y0384_x0064,17.726557588674567,0.4342941525665646
ESRGAN,AOI_Barcelona_12_y0064_x0256,17.694245870483943,0.517179580811897
ESRGAN,AOI_Barcelona_2_y0384_x0064,17.275790574311035,0.4668169581158668
ESRGAN,AOI_Busan_7_y0064_x0192,18.094404404106324,0.44623189469030816
ESRGAN,AOI_Munich_11_y0576_x0192,18.315899955967332,0.5389631869218239
ESRGAN,AOI_Munich_16_y0192_x0256,18.964053493370315,0.5620021839506842
ESRGAN,AOI_Paris_1_2_y0192_x0000,16.844198419384142,0.5339824908924207
ESRGAN,AOI_Paris_1_6_y0064_x0192,17.499661567588504,0.4834673727953273
ESRGAN,AOI_Paris_1_6_y0192_x0064,18.993321212163885,0.4825920642041314
ESRGAN,AOI_Seoul_14_y0256_x0128,18.212627289113172,0.48698455643896893
ESRGAN,AOI_Seoul_1_y0384_x0064,17.293400464408112,0.4205694806000306
SwinIR,AOI_Barcelona_12_y0064_x0256,19.719831458187883,0.5874452087414425
SwinIR,AOI_Barcelona_2_y0384_x0064,18.374229983146876,0.5343453484086195
SwinIR,AOI_Busan_7_y0064_x0192,19.047071435972953,0.4805498814449674
SwinIR,AOI_Munich_11_y0576_x0192,19.404723962008386,0.6304667739021438
