sweep,n_timestep,mode,schedule,linear_end,PSNR,SSIM,color_err,PSNR_oracle,SSIM_oracle,sec
steps,10,low,linear,0.01,8.979994028250719,0.045825874919303816,33.1101707175926,12.33617989921902,0.07977601133645082,3.9438159465789795
steps,25,low,linear,0.01,9.863699548194445,0.07814552552910642,32.861603913483805,12.603732996484947,0.12032827715272218,3.542194366455078
steps,50,low,linear,0.01,10.263045010686174,0.11391202442344167,32.80041729962385,12.768901184664738,0.1677983178890412,6.123283386230469
steps,100,low,linear,0.01,10.269650780955647,0.13335063647541756,32.785383436414946,12.796403524565008,0.18976687431703554,11.321860074996948
steps,200,low,linear,0.01,10.236538838464226,0.15272408930379738,32.78262894241899,12.880228913299351,0.20927978996627933,21.696787357330322
steps,400,low,linear,0.01,10.16593541687681,0.1623363503023113,32.78010163483796,12.923512113491249,0.2197971741065276,42.86825609207153
linear_end,100,low,linear,0.001,9.253345758131962,0.057285189244749596,32.87651683666088,12.412349250816067,0.09310470800498051,11.447983026504517
linear_end,100,low,linear,0.003,10.069738735964012,0.09051277883990066,32.805904812283,12.670753029904597,0.13761708358638103,11.429611921310425
linear_end,100,low,linear,0.005,10.27610192265464,0.11413932478385247,32.79080087167246,12.76546381444763,0.16860584967718875,11.439019441604614
linear_end,100,low,linear,0.01,10.297444038641256,0.13948572530679465,32.786688910590286,12.831512297215982,0.19610107580663605,11.411330461502075
linear_end,100,low,linear,0.02,10.254759513248313,0.15164958012774538,32.78655779803241,12.880431157926724,0.20879844617641424,11.42236065864563
linear_end,100,low,linear,0.05,10.176483630802254,0.16739717199823964,32.790928593388315,12.944198932305877,0.22481673283879577,11.412641286849976
schedule,100,low,linear,0.01,10.304517519944632,0.13976812827747448,32.78703138563368,12.833795853728457,0.19675266601269992,11.417510032653809
schedule,100,low,quad,0.01,10.324568936987937,0.12980355369388627,32.78255321361401,12.81660592808111,0.18608734658810946,11.410022258758545
schedule,100,low,cosine,0.01,10.145860165954355,0.1677164015953893,32.80794496889469,12.947858203890664,0.2251636744166628,11.407848596572876
schedule,100,low,warmup50,0.01,10.261592312279983,0.14750458612598125,32.788322166160306,12.854999684764838,0.2038520799161284,11.425575733184814
schedule,100,low,const,0.01,10.296495764228304,0.16056365978031015,32.81050844545718,12.910103245488479,0.2171290389661469,11.413830995559692
